gene    type    p_val   value
L3MBTL1 Gain    0.01    0.13
AURKA   Gain    0.01    0.1
GNAS    Gain    0.01    0.12
MIS18A  Gain    0.01    0.11
ERG_TMPRSS2     Gain    0.01    0.14
ETS2    Gain    0.01    0.12
IGSF5   Gain    0.01    0.12
MX2     Gain    0.01    0.11
MX1     Gain    0.01    0.12
TOP3B   Gain    0.01    0.12
CHEK2   Gain    0.01    0.15
KDM6A   Gain    0.01    0.38
AR      Gain    0.01    0.37
TEX11   Gain    0.01    0.3
MED12   Gain    0.01    0.35
HDAC8   Gain    0.01    0.34
SMARCA1 Gain    0.01    0.36
ARID1A  Gain    0.005   0.14
HSD3B1  Gain    0.005   0.1
FCER1A  Gain    0.005   0.1
MDM4    Gain    0.005   0.13
MYCN    Gain    0.005   0.14
SPDYA   Gain    0.005   0.07
MSH2    Gain    0.005   0.09
MSH6    Gain    0.005   0.09
IL1RL2  Gain    0.005   0.14
ERCC3   Gain    0.005   0.12
IDH1    Gain    0.005   0.18
FANCD2  Gain    0.005   0.1
MLH1    Gain    0.005   0.11
CTNNB1  Gain    0.005   0.08
ATXN7   Gain    0.005   0.11
FOXP1   Gain    0.005   0.14
RYBP    Gain    0.005   0.09
NIT2    Gain    0.005   0.12
PIK3CB  Gain    0.005   0.09
ATR     Gain    0.005   0.15
PIK3CA  Gain    0.005   0.15
UGT2B17 Gain    0.005   0.99
ENPEP   Gain    0.005   0.12
FBXW7   Gain    0.005   0.14
PIK3R1  Gain    0.005   0.12
CHD1    Gain    0.005   0.19
APC     Gain    0.005   0.12
DRD1    Gain    0.005   0.09
ZBTB9   Gain    0.005   0.21
HDAC2   Gain    0.005   0.22
FAM183B Gain    0.005   0.12
CDK6    Gain    0.005   0.17
LRRC17  Gain    0.005   0.15
MET     Gain    0.005   0.13
BRAF    Gain    0.005   0.08
KMT2C   Gain    0.005   0.08
NKX3-1  Gain    0.005   0.05
PXDNL   Gain    0.005   0.13
NCOA2   Gain    0.005   0.12
MYC     Gain    0.005   0.06
CDKN2A  Gain    0.005   0.14
FANCG   Gain    0.005   0.12
GRHPR   Gain    0.005   0.07
C9orf47 Gain    0.005   0.11
FANCC   Gain    0.005   0.1
PTEN    Gain    0.005   0.19
CCND1   Gain    0.005   0.33
RSF1    Gain    0.005   0.06
ATM     Gain    0.005   0.1
ZBTB16  Gain    0.005   0.09
CDKN1B  Gain    0.005   0.08
KRAS    Gain    0.005   0.15
KMT2D   Gain    0.005   0.12
CDK4    Gain    0.005   0.12
MDM2    Gain    0.005   0.1
MTIF3   Gain    0.005   0.09
BRCA2   Gain    0.005   0.16
RB1     Gain    0.005   0.17
FOXA1   Gain    0.005   0.16
ATG14   Gain    0.005   0.08
RAD51B  Gain    0.005   0.14
AKT1    Gain    0.005   0.4
MESDC2  Gain    0.005   0.1
IDH2    Gain    0.005   0.11
PALB2   Gain    0.005   0.1
CYLD    Gain    0.005   0.09
TK2     Gain    0.005   0.13
ZFHX3   Gain    0.005   0.14
FANCA   Gain    0.005   0.34
OR3A3   Gain    0.005   0.15
TP53    Gain    0.005   0.25
CDK12   Gain    0.005   0.22
BRCA1   Gain    0.005   0.18
SPOP    Gain    0.005   0.24
RNF43   Gain    0.005   0.1
RAD51C  Gain    0.005   0.12
BRIP1   Gain    0.005   0.1
RNF125  Gain    0.005   0.09
ERCC2   Gain    0.005   0.3
ERCC1   Gain    0.005   0.3
CST7    Gain    0.005   0.13
ASXL1   Gain    0.005   0.21
L3MBTL1 Gain    0.005   0.14
AURKA   Gain    0.005   0.1
GNAS    Gain    0.005   0.13
MIS18A  Gain    0.005   0.12
ERG_TMPRSS2     Gain    0.005   0.15
ETS2    Gain    0.005   0.13
IGSF5   Gain    0.005   0.13
MX2     Gain    0.005   0.11
MX1     Gain    0.005   0.13
TOP3B   Gain    0.005   0.13
CHEK2   Gain    0.005   0.16
KDM6A   Gain    0.005   0.41
AR      Gain    0.005   0.4
TEX11   Gain    0.005   0.32
MED12   Gain    0.005   0.38
HDAC8   Gain    0.005   0.37
SMARCA1 Gain    0.005   0.39
ARID1A  Gain    0.001   0.16
HSD3B1  Gain    0.001   0.11
FCER1A  Gain    0.001   0.12
MDM4    Gain    0.001   0.15
MYCN    Gain    0.001   0.16
SPDYA   Gain    0.001   0.08
MSH2    Gain    0.001   0.1
MSH6    Gain    0.001   0.1
IL1RL2  Gain    0.001   0.16
ERCC3   Gain    0.001   0.14
IDH1    Gain    0.001   0.21
FANCD2  Gain    0.001   0.12
MLH1    Gain    0.001   0.13
CTNNB1  Gain    0.001   0.09
ATXN7   Gain    0.001   0.12
FOXP1   Gain    0.001   0.17
RYBP    Gain    0.001   0.11
NIT2    Gain    0.001   0.14
PIK3CB  Gain    0.001   0.1
ATR     Gain    0.001   0.18
PIK3CA  Gain    0.001   0.18
UGT2B17 Gain    0.001   0.99
ENPEP   Gain    0.001   0.14
FBXW7   Gain    0.001   0.16
PIK3R1  Gain    0.001   0.14
CHD1    Gain    0.001   0.22
APC     Gain    0.001   0.14
DRD1    Gain    0.001   0.1
ZBTB9   Gain    0.001   0.25
HDAC2   Gain    0.001   0.25
FAM183B Gain    0.001   0.14
CDK6    Gain    0.001   0.2
LRRC17  Gain    0.001   0.17
MET     Gain    0.001   0.15
BRAF    Gain    0.001   0.09
KMT2C   Gain    0.001   0.09
NKX3-1  Gain    0.001   0.05
PXDNL   Gain    0.001   0.15
NCOA2   Gain    0.001   0.14
MYC     Gain    0.001   0.07
CDKN2A  Gain    0.001   0.16
FANCG   Gain    0.001   0.13
GRHPR   Gain    0.001   0.08
C9orf47 Gain    0.001   0.13
FANCC   Gain    0.001   0.11
PTEN    Gain    0.001   0.22
CCND1   Gain    0.001   0.38
RSF1    Gain    0.001   0.07
ATM     Gain    0.001   0.11
ZBTB16  Gain    0.001   0.11
CDKN1B  Gain    0.001   0.09
KRAS    Gain    0.001   0.18
KMT2D   Gain    0.001   0.14
CDK4    Gain    0.001   0.14
MDM2    Gain    0.001   0.12
MTIF3   Gain    0.001   0.1
BRCA2   Gain    0.001   0.19
RB1     Gain    0.001   0.2
FOXA1   Gain    0.001   0.19
ATG14   Gain    0.001   0.09
RAD51B  Gain    0.001   0.16
AKT1    Gain    0.001   0.47
MESDC2  Gain    0.001   0.12
IDH2    Gain    0.001   0.13
PALB2   Gain    0.001   0.11
CYLD    Gain    0.001   0.11
TK2     Gain    0.001   0.15
ZFHX3   Gain    0.001   0.16
FANCA   Gain    0.001   0.4
OR3A3   Gain    0.001   0.17
TP53    Gain    0.001   0.29
CDK12   Gain    0.001   0.25
BRCA1   Gain    0.001   0.21
SPOP    Gain    0.001   0.28
RNF43   Gain    0.001   0.12
RAD51C  Gain    0.001   0.14
BRIP1   Gain    0.001   0.12
RNF125  Gain    0.001   0.11
ERCC2   Gain    0.001   0.35
ERCC1   Gain    0.001   0.35
CST7    Gain    0.001   0.16
ASXL1   Gain    0.001   0.24
L3MBTL1 Gain    0.001   0.16
AURKA   Gain    0.001   0.12
GNAS    Gain    0.001   0.15
MIS18A  Gain    0.001   0.13
ERG_TMPRSS2     Gain    0.001   0.18
ETS2    Gain    0.001   0.15
IGSF5   Gain    0.001   0.15
MX2     Gain    0.001   0.13
MX1     Gain    0.001   0.15
TOP3B   Gain    0.001   0.15
CHEK2   Gain    0.001   0.18
KDM6A   Gain    0.001   0.48
AR      Gain    0.001   0.47
TEX11   Gain    0.001   0.38
MED12   Gain    0.001   0.44
HDAC8   Gain    0.001   0.43
SMARCA1 Gain    0.001   0.45
ARID1A  Gain    5e-04   0.17
HSD3B1  Gain    5e-04   0.12
FCER1A  Gain    5e-04   0.13
MDM4    Gain    5e-04   0.16
MYCN    Gain    5e-04   0.17
SPDYA   Gain    5e-04   0.09
MSH2    Gain    5e-04   0.1
MSH6    Gain    5e-04   0.1
IL1RL2  Gain    5e-04   0.17
ERCC3   Gain    5e-04   0.14
IDH1    Gain    5e-04   0.22
FANCD2  Gain    5e-04   0.13
MLH1    Gain    5e-04   0.14
CTNNB1  Gain    5e-04   0.1
ATXN7   Gain    5e-04   0.13
FOXP1   Gain    5e-04   0.18
RYBP    Gain    5e-04   0.11
NIT2    Gain    5e-04   0.15
PIK3CB  Gain    5e-04   0.1
ATR     Gain    5e-04   0.19
PIK3CA  Gain    5e-04   0.18
UGT2B17 Gain    5e-04   0.99
ENPEP   Gain    5e-04   0.15
FBXW7   Gain    5e-04   0.17
PIK3R1  Gain    5e-04   0.14
CHD1    Gain    5e-04   0.23
APC     Gain    5e-04   0.15
DRD1    Gain    5e-04   0.11
ZBTB9   Gain    5e-04   0.26
HDAC2   Gain    5e-04   0.27
FAM183B Gain    5e-04   0.15
CDK6    Gain    5e-04   0.21
LRRC17  Gain    5e-04   0.18
MET     Gain    5e-04   0.16
BRAF    Gain    5e-04   0.09
KMT2C   Gain    5e-04   0.1
NKX3-1  Gain    5e-04   0.05
PXDNL   Gain    5e-04   0.16
NCOA2   Gain    5e-04   0.15
MYC     Gain    5e-04   0.07
CDKN2A  Gain    5e-04   0.17
FANCG   Gain    5e-04   0.14
GRHPR   Gain    5e-04   0.08
C9orf47 Gain    5e-04   0.13
FANCC   Gain    5e-04   0.12
PTEN    Gain    5e-04   0.24
CCND1   Gain    5e-04   0.4
RSF1    Gain    5e-04   0.08
ATM     Gain    5e-04   0.12
ZBTB16  Gain    5e-04   0.11
CDKN1B  Gain    5e-04   0.1
KRAS    Gain    5e-04   0.19
KMT2D   Gain    5e-04   0.15
CDK4    Gain    5e-04   0.14
MDM2    Gain    5e-04   0.12
MTIF3   Gain    5e-04   0.11
BRCA2   Gain    5e-04   0.2
RB1     Gain    5e-04   0.21
FOXA1   Gain    5e-04   0.2
ATG14   Gain    5e-04   0.1
RAD51B  Gain    5e-04   0.17
AKT1    Gain    5e-04   0.49
MESDC2  Gain    5e-04   0.12
IDH2    Gain    5e-04   0.14
PALB2   Gain    5e-04   0.12
CYLD    Gain    5e-04   0.11
TK2     Gain    5e-04   0.16
ZFHX3   Gain    5e-04   0.17
FANCA   Gain    5e-04   0.42
OR3A3   Gain    5e-04   0.18
TP53    Gain    5e-04   0.3
CDK12   Gain    5e-04   0.26
BRCA1   Gain    5e-04   0.23
SPOP    Gain    5e-04   0.3
RNF43   Gain    5e-04   0.12
RAD51C  Gain    5e-04   0.14
BRIP1   Gain    5e-04   0.13
RNF125  Gain    5e-04   0.11
ERCC2   Gain    5e-04   0.37
ERCC1   Gain    5e-04   0.37
CST7    Gain    5e-04   0.16
ASXL1   Gain    5e-04   0.25
L3MBTL1 Gain    5e-04   0.17
AURKA   Gain    5e-04   0.13
GNAS    Gain    5e-04   0.15
MIS18A  Gain    5e-04   0.14
ERG_TMPRSS2     Gain    5e-04   0.18
ETS2    Gain    5e-04   0.15
IGSF5   Gain    5e-04   0.16
MX2     Gain    5e-04   0.14
MX1     Gain    5e-04   0.16
TOP3B   Gain    5e-04   0.16
CHEK2   Gain    5e-04   0.19
KDM6A   Gain    5e-04   0.51
AR      Gain    5e-04   0.5
TEX11   Gain    5e-04   0.4
MED12   Gain    5e-04   0.47
HDAC8   Gain    5e-04   0.45
SMARCA1 Gain    5e-04   0.48
ARID1A  Gain    1e-04   0.19
HSD3B1  Gain    1e-04   0.13
FCER1A  Gain    1e-04   0.14
MDM4    Gain    1e-04   0.17
MYCN    Gain    1e-04   0.19
SPDYA   Gain    1e-04   0.09
MSH2    Gain    1e-04   0.11
MSH6    Gain    1e-04   0.11
IL1RL2  Gain    1e-04   0.19
ERCC3   Gain    1e-04   0.16
IDH1    Gain    1e-04   0.24
FANCD2  Gain    1e-04   0.14
MLH1    Gain    1e-04   0.15
CTNNB1  Gain    1e-04   0.11
ATXN7   Gain    1e-04   0.15
FOXP1   Gain    1e-04   0.2
RYBP    Gain    1e-04   0.13
NIT2    Gain    1e-04   0.16
PIK3CB  Gain    1e-04   0.11
ATR     Gain    1e-04   0.21
PIK3CA  Gain    1e-04   0.21
UGT2B17 Gain    1e-04   0.99
ENPEP   Gain    1e-04   0.17
FBXW7   Gain    1e-04   0.19
PIK3R1  Gain    1e-04   0.16
CHD1    Gain    1e-04   0.25
APC     Gain    1e-04   0.17
DRD1    Gain    1e-04   0.12
ZBTB9   Gain    1e-04   0.29
HDAC2   Gain    1e-04   0.3
FAM183B Gain    1e-04   0.16
CDK6    Gain    1e-04   0.23
