gene    type    p_val   value
ERCC1   Loss    0.01    -0.28
CST7    Loss    0.01    -0.12
ASXL1   Loss    0.01    -0.19
L3MBTL1 Loss    0.01    -0.13
AURKA   Loss    0.01    -0.1
GNAS    Loss    0.01    -0.12
MIS18A  Loss    0.01    -0.11
ERG_TMPRSS2     Loss    0.01    -0.14
ETS2    Loss    0.01    -0.12
IGSF5   Loss    0.01    -0.12
MX2     Loss    0.01    -0.11
MX1     Loss    0.01    -0.12
TOP3B   Loss    0.01    -0.12
CHEK2   Loss    0.01    -0.15
KDM6A   Loss    0.01    -0.38
AR      Loss    0.01    -0.37
TEX11   Loss    0.01    -0.3
MED12   Loss    0.01    -0.35
HDAC8   Loss    0.01    -0.34
SMARCA1 Loss    0.01    -0.36
ARID1A  Loss    0.005   -0.14
HSD3B1  Loss    0.005   -0.1
FCER1A  Loss    0.005   -0.1
MDM4    Loss    0.005   -0.13
MYCN    Loss    0.005   -0.14
SPDYA   Loss    0.005   -0.07
MSH2    Loss    0.005   -0.09
MSH6    Loss    0.005   -0.09
IL1RL2  Loss    0.005   -0.14
ERCC3   Loss    0.005   -0.12
IDH1    Loss    0.005   -0.18
FANCD2  Loss    0.005   -0.1
MLH1    Loss    0.005   -0.11
CTNNB1  Loss    0.005   -0.08
ATXN7   Loss    0.005   -0.11
FOXP1   Loss    0.005   -0.14
RYBP    Loss    0.005   -0.09
NIT2    Loss    0.005   -0.12
PIK3CB  Loss    0.005   -0.09
ATR     Loss    0.005   -0.15
PIK3CA  Loss    0.005   -0.15
UGT2B17 Loss    0.005   -0.99
ENPEP   Loss    0.005   -0.12
FBXW7   Loss    0.005   -0.14
PIK3R1  Loss    0.005   -0.12
CHD1    Loss    0.005   -0.19
APC     Loss    0.005   -0.12
DRD1    Loss    0.005   -0.09
ZBTB9   Loss    0.005   -0.21
HDAC2   Loss    0.005   -0.22
FAM183B Loss    0.005   -0.12
CDK6    Loss    0.005   -0.17
LRRC17  Loss    0.005   -0.15
MET     Loss    0.005   -0.13
BRAF    Loss    0.005   -0.08
KMT2C   Loss    0.005   -0.08
NKX3-1  Loss    0.005   -0.06
PXDNL   Loss    0.005   -0.13
NCOA2   Loss    0.005   -0.12
MYC     Loss    0.005   -0.06
CDKN2A  Loss    0.005   -0.14
FANCG   Loss    0.005   -0.12
GRHPR   Loss    0.005   -0.07
C9orf47 Loss    0.005   -0.11
FANCC   Loss    0.005   -0.1
PTEN    Loss    0.005   -0.19
CCND1   Loss    0.005   -0.33
RSF1    Loss    0.005   -0.06
ATM     Loss    0.005   -0.1
ZBTB16  Loss    0.005   -0.09
CDKN1B  Loss    0.005   -0.08
KRAS    Loss    0.005   -0.15
KMT2D   Loss    0.005   -0.12
CDK4    Loss    0.005   -0.12
MDM2    Loss    0.005   -0.1
MTIF3   Loss    0.005   -0.09
BRCA2   Loss    0.005   -0.16
RB1     Loss    0.005   -0.17
FOXA1   Loss    0.005   -0.16
ATG14   Loss    0.005   -0.08
RAD51B  Loss    0.005   -0.14
AKT1    Loss    0.005   -0.4
MESDC2  Loss    0.005   -0.1
IDH2    Loss    0.005   -0.11
PALB2   Loss    0.005   -0.1
CYLD    Loss    0.005   -0.09
TK2     Loss    0.005   -0.13
ZFHX3   Loss    0.005   -0.14
FANCA   Loss    0.005   -0.34
OR3A3   Loss    0.005   -0.15
TP53    Loss    0.005   -0.25
CDK12   Loss    0.005   -0.22
BRCA1   Loss    0.005   -0.18
SPOP    Loss    0.005   -0.24
RNF43   Loss    0.005   -0.1
RAD51C  Loss    0.005   -0.12
BRIP1   Loss    0.005   -0.1
RNF125  Loss    0.005   -0.09
ERCC2   Loss    0.005   -0.3
ERCC1   Loss    0.005   -0.3
CST7    Loss    0.005   -0.13
ASXL1   Loss    0.005   -0.21
L3MBTL1 Loss    0.005   -0.14
AURKA   Loss    0.005   -0.1
GNAS    Loss    0.005   -0.13
MIS18A  Loss    0.005   -0.12
ERG_TMPRSS2     Loss    0.005   -0.15
ETS2    Loss    0.005   -0.13
IGSF5   Loss    0.005   -0.13
MX2     Loss    0.005   -0.11
MX1     Loss    0.005   -0.13
TOP3B   Loss    0.005   -0.13
CHEK2   Loss    0.005   -0.16
KDM6A   Loss    0.005   -0.41
AR      Loss    0.005   -0.4
TEX11   Loss    0.005   -0.32
MED12   Loss    0.005   -0.38
HDAC8   Loss    0.005   -0.37
SMARCA1 Loss    0.005   -0.39
ARID1A  Loss    0.001   -0.16
HSD3B1  Loss    0.001   -0.11
FCER1A  Loss    0.001   -0.12
MDM4    Loss    0.001   -0.15
MYCN    Loss    0.001   -0.16
SPDYA   Loss    0.001   -0.08
MSH2    Loss    0.001   -0.1
MSH6    Loss    0.001   -0.1
IL1RL2  Loss    0.001   -0.16
ERCC3   Loss    0.001   -0.14
IDH1    Loss    0.001   -0.21
FANCD2  Loss    0.001   -0.12
MLH1    Loss    0.001   -0.13
CTNNB1  Loss    0.001   -0.09
ATXN7   Loss    0.001   -0.12
FOXP1   Loss    0.001   -0.17
RYBP    Loss    0.001   -0.11
NIT2    Loss    0.001   -0.14
PIK3CB  Loss    0.001   -0.1
ATR     Loss    0.001   -0.18
PIK3CA  Loss    0.001   -0.18
UGT2B17 Loss    0.001   -0.99
ENPEP   Loss    0.001   -0.14
FBXW7   Loss    0.001   -0.16
PIK3R1  Loss    0.001   -0.14
CHD1    Loss    0.001   -0.22
APC     Loss    0.001   -0.14
DRD1    Loss    0.001   -0.1
ZBTB9   Loss    0.001   -0.25
HDAC2   Loss    0.001   -0.25
FAM183B Loss    0.001   -0.14
CDK6    Loss    0.001   -0.2
LRRC17  Loss    0.001   -0.17
MET     Loss    0.001   -0.15
BRAF    Loss    0.001   -0.09
KMT2C   Loss    0.001   -0.09
NKX3-1  Loss    0.001   -0.06
PXDNL   Loss    0.001   -0.15
NCOA2   Loss    0.001   -0.14
MYC     Loss    0.001   -0.07
CDKN2A  Loss    0.001   -0.16
FANCG   Loss    0.001   -0.13
GRHPR   Loss    0.001   -0.08
C9orf47 Loss    0.001   -0.13
FANCC   Loss    0.001   -0.11
PTEN    Loss    0.001   -0.22
CCND1   Loss    0.001   -0.38
RSF1    Loss    0.001   -0.07
ATM     Loss    0.001   -0.11
ZBTB16  Loss    0.001   -0.11
CDKN1B  Loss    0.001   -0.09
KRAS    Loss    0.001   -0.18
KMT2D   Loss    0.001   -0.14
CDK4    Loss    0.001   -0.14
MDM2    Loss    0.001   -0.12
MTIF3   Loss    0.001   -0.1
BRCA2   Loss    0.001   -0.19
RB1     Loss    0.001   -0.2
FOXA1   Loss    0.001   -0.19
ATG14   Loss    0.001   -0.09
RAD51B  Loss    0.001   -0.16
AKT1    Loss    0.001   -0.47
MESDC2  Loss    0.001   -0.12
IDH2    Loss    0.001   -0.13
PALB2   Loss    0.001   -0.11
CYLD    Loss    0.001   -0.11
TK2     Loss    0.001   -0.15
ZFHX3   Loss    0.001   -0.16
FANCA   Loss    0.001   -0.4
OR3A3   Loss    0.001   -0.17
TP53    Loss    0.001   -0.29
CDK12   Loss    0.001   -0.25
BRCA1   Loss    0.001   -0.21
SPOP    Loss    0.001   -0.28
RNF43   Loss    0.001   -0.12
RAD51C  Loss    0.001   -0.14
BRIP1   Loss    0.001   -0.12
RNF125  Loss    0.001   -0.11
ERCC2   Loss    0.001   -0.35
ERCC1   Loss    0.001   -0.35
CST7    Loss    0.001   -0.16
ASXL1   Loss    0.001   -0.24
L3MBTL1 Loss    0.001   -0.16
AURKA   Loss    0.001   -0.12
GNAS    Loss    0.001   -0.15
MIS18A  Loss    0.001   -0.13
ERG_TMPRSS2     Loss    0.001   -0.18
ETS2    Loss    0.001   -0.15
IGSF5   Loss    0.001   -0.15
MX2     Loss    0.001   -0.13
MX1     Loss    0.001   -0.15
TOP3B   Loss    0.001   -0.15
CHEK2   Loss    0.001   -0.18
KDM6A   Loss    0.001   -0.48
AR      Loss    0.001   -0.47
TEX11   Loss    0.001   -0.38
MED12   Loss    0.001   -0.44
HDAC8   Loss    0.001   -0.43
SMARCA1 Loss    0.001   -0.45
ARID1A  Loss    5e-04   -0.17
HSD3B1  Loss    5e-04   -0.12
FCER1A  Loss    5e-04   -0.13
MDM4    Loss    5e-04   -0.16
MYCN    Loss    5e-04   -0.17
SPDYA   Loss    5e-04   -0.09
MSH2    Loss    5e-04   -0.1
MSH6    Loss    5e-04   -0.1
IL1RL2  Loss    5e-04   -0.17
ERCC3   Loss    5e-04   -0.14
IDH1    Loss    5e-04   -0.22
FANCD2  Loss    5e-04   -0.13
MLH1    Loss    5e-04   -0.14
CTNNB1  Loss    5e-04   -0.1
ATXN7   Loss    5e-04   -0.13
FOXP1   Loss    5e-04   -0.18
RYBP    Loss    5e-04   -0.11
NIT2    Loss    5e-04   -0.15
PIK3CB  Loss    5e-04   -0.1
ATR     Loss    5e-04   -0.19
PIK3CA  Loss    5e-04   -0.18
UGT2B17 Loss    5e-04   -0.99
ENPEP   Loss    5e-04   -0.15
FBXW7   Loss    5e-04   -0.17
PIK3R1  Loss    5e-04   -0.14
CHD1    Loss    5e-04   -0.23
APC     Loss    5e-04   -0.15
DRD1    Loss    5e-04   -0.11
ZBTB9   Loss    5e-04   -0.26
HDAC2   Loss    5e-04   -0.27
FAM183B Loss    5e-04   -0.15
CDK6    Loss    5e-04   -0.21
LRRC17  Loss    5e-04   -0.18
MET     Loss    5e-04   -0.16
BRAF    Loss    5e-04   -0.09
KMT2C   Loss    5e-04   -0.1
NKX3-1  Loss    5e-04   -0.06
PXDNL   Loss    5e-04   -0.16
NCOA2   Loss    5e-04   -0.15
MYC     Loss    5e-04   -0.07
CDKN2A  Loss    5e-04   -0.17
FANCG   Loss    5e-04   -0.14
GRHPR   Loss    5e-04   -0.08
C9orf47 Loss    5e-04   -0.13
FANCC   Loss    5e-04   -0.12
PTEN    Loss    5e-04   -0.24
CCND1   Loss    5e-04   -0.4
RSF1    Loss    5e-04   -0.08
ATM     Loss    5e-04   -0.12
ZBTB16  Loss    5e-04   -0.11
CDKN1B  Loss    5e-04   -0.1
KRAS    Loss    5e-04   -0.19
KMT2D   Loss    5e-04   -0.15
CDK4    Loss    5e-04   -0.14
MDM2    Loss    5e-04   -0.12
MTIF3   Loss    5e-04   -0.11
BRCA2   Loss    5e-04   -0.2
RB1     Loss    5e-04   -0.21
FOXA1   Loss    5e-04   -0.2
ATG14   Loss    5e-04   -0.1
RAD51B  Loss    5e-04   -0.17
AKT1    Loss    5e-04   -0.49
MESDC2  Loss    5e-04   -0.12
IDH2    Loss    5e-04   -0.14
PALB2   Loss    5e-04   -0.12
CYLD    Loss    5e-04   -0.11
TK2     Loss    5e-04   -0.16
ZFHX3   Loss    5e-04   -0.17
FANCA   Loss    5e-04   -0.42
OR3A3   Loss    5e-04   -0.18
TP53    Loss    5e-04   -0.3
CDK12   Loss    5e-04   -0.26
BRCA1   Loss    5e-04   -0.23
SPOP    Loss    5e-04   -0.3
RNF43   Loss    5e-04   -0.12
RAD51C  Loss    5e-04   -0.14
BRIP1   Loss    5e-04   -0.13
RNF125  Loss    5e-04   -0.11
ERCC2   Loss    5e-04   -0.37
ERCC1   Loss    5e-04   -0.37
CST7    Loss    5e-04   -0.16
ASXL1   Loss    5e-04   -0.25
L3MBTL1 Loss    5e-04   -0.17
AURKA   Loss    5e-04   -0.13
GNAS    Loss    5e-04   -0.15
MIS18A  Loss    5e-04   -0.14
ERG_TMPRSS2     Loss    5e-04   -0.18
ETS2    Loss    5e-04   -0.15
IGSF5   Loss    5e-04   -0.16
MX2     Loss    5e-04   -0.14
MX1     Loss    5e-04   -0.16
TOP3B   Loss    5e-04   -0.16
CHEK2   Loss    5e-04   -0.19
KDM6A   Loss    5e-04   -0.51
AR      Loss    5e-04   -0.5
TEX11   Loss    5e-04   -0.4
MED12   Loss    5e-04   -0.47
HDAC8   Loss    5e-04   -0.45
SMARCA1 Loss    5e-04   -0.48
ARID1A  Loss    1e-04   -0.19
HSD3B1  Loss    1e-04   -0.13
FCER1A  Loss    1e-04   -0.14
MDM4    Loss    1e-04   -0.17
MYCN    Loss    1e-04   -0.19
SPDYA   Loss    1e-04   -0.09
MSH2    Loss    1e-04   -0.11
MSH6    Loss    1e-04   -0.11
IL1RL2  Loss    1e-04   -0.19
ERCC3   Loss    1e-04   -0.16
IDH1    Loss    1e-04   -0.24
FANCD2  Loss    1e-04   -0.14
MLH1    Loss    1e-04   -0.15
CTNNB1  Loss    1e-04   -0.11
ATXN7   Loss    1e-04   -0.15
FOXP1   Loss    1e-04   -0.2
RYBP    Loss    1e-04   -0.13
NIT2    Loss    1e-04   -0.16
PIK3CB  Loss    1e-04   -0.11
ATR     Loss    1e-04   -0.21
PIK3CA  Loss    1e-04   -0.21
UGT2B17 Loss    1e-04   -0.99
ENPEP   Loss    1e-04   -0.17
FBXW7   Loss    1e-04   -0.19
PIK3R1  Loss    1e-04   -0.16
CHD1    Loss    1e-04   -0.25
APC     Loss    1e-04   -0.17
DRD1    Loss    1e-04   -0.12
ZBTB9   Loss    1e-04   -0.29
HDAC2   Loss    1e-04   -0.3
FAM183B Loss    1e-04   -0.16
CDK6    Loss    1e-04   -0.23
LRRC17  Loss    1e-04   -0.2
MET     Loss    1e-04   -0.18
BRAF    Loss    1e-04   -0.1
KMT2C   Loss    1e-04   -0.11
NKX3-1  Loss    1e-04   -0.06
PXDNL   Loss    1e-04   -0.18
NCOA2   Loss    1e-04   -0.17
MYC     Loss    1e-04   -0.08
CDKN2A  Loss    1e-04   -0.19
FANCG   Loss    1e-04   -0.16
GRHPR   Loss    1e-04   -0.09
C9orf47 Loss    1e-04   -0.15
FANCC   Loss    1e-04   -0.13
PTEN    Loss    1e-04   -0.26
CCND1   Loss    1e-04   -0.45
RSF1    Loss    1e-04   -0.09
ATM     Loss    1e-04   -0.13
ZBTB16  Loss    1e-04   -0.12
CDKN1B  Loss    1e-04   -0.11
KRAS    Loss    1e-04   -0.21
KMT2D   Loss    1e-04   -0.17
CDK4    Loss    1e-04   -0.16
MDM2    Loss    1e-04   -0.14
MTIF3   Loss    1e-04   -0.12
BRCA2   Loss    1e-04   -0.22
RB1     Loss    1e-04   -0.24
FOXA1   Loss    1e-04   -0.22
ATG14   Loss    1e-04   -0.11
RAD51B  Loss    1e-04   -0.19
AKT1    Loss    1e-04   -0.55
MESDC2  Loss    1e-04   -0.13
IDH2    Loss    1e-04   -0.15
PALB2   Loss    1e-04   -0.13
CYLD    Loss    1e-04   -0.13
TK2     Loss    1e-04   -0.18
ZFHX3   Loss    1e-04   -0.19
FANCA   Loss    1e-04   -0.47
OR3A3   Loss    1e-04   -0.21
TP53    Loss    1e-04   -0.34
CDK12   Loss    1e-04   -0.29
BRCA1   Loss    1e-04   -0.25
SPOP    Loss    1e-04   -0.33
RNF43   Loss    1e-04   -0.13
RAD51C  Loss    1e-04   -0.16
BRIP1   Loss    1e-04   -0.14
RNF125  Loss    1e-04   -0.12
ERCC2   Loss    1e-04   -0.42
ERCC1   Loss    1e-04   -0.42
CST7    Loss    1e-04   -0.18
ASXL1   Loss    1e-04   -0.28
L3MBTL1 Loss    1e-04   -0.19
AURKA   Loss    1e-04   -0.14
GNAS    Loss    1e-04   -0.17
MIS18A  Loss    1e-04   -0.16
ERG_TMPRSS2     Loss    1e-04   -0.21
ETS2    Loss    1e-04   -0.17
IGSF5   Loss    1e-04   -0.17
MX2     Loss    1e-04   -0.15
MX1     Loss    1e-04   -0.18
TOP3B   Loss    1e-04   -0.18
CHEK2   Loss    1e-04   -0.21
KDM6A   Loss    1e-04   -0.57
AR      Loss    1e-04   -0.55
TEX11   Loss    1e-04   -0.44
MED12   Loss    1e-04   -0.52
HDAC8   Loss    1e-04   -0.5
SMARCA1 Loss    1e-04   -0.53
