sample	gene	evidence_n	beta_n	evidence	beta	focal_log2	all_log2	all_log2_right	all_log2_left	informative_snps	snps	tc	ploidy	cna	cnb	cna.int	cnb.int	gene_type	log2_cutoff_pass	chr	all_log2_corr	cn_call_corr
example2	MESDC2	0	1	1	0.253	-0.135	-0.029	-3.90E-02	-1.70E-02	2	35	0.76	2.04	1.982596056	1.7214060999999999E-2	2	0	control	TRUE	15	-0.000566932	CNNL
example2	MET	0	1	1	0.74099999999999999	0.496	0.461	0.379	0.48299999999999998	35	33	0.76	2.04	2.0093252709999998	1.0538335619999999	2	1	target	TRUE	7	0.615051357	Unb.Gain
example2	MIS18A	0	1	1	0.80100000000000005	0.54600000000000004	0.293	0.27700000000000002	0.27800000000000002	146	144	0.76	2.04	1.6568587880000001	1.0009073770000001	2	1	control	TRUE	21	0.40983972	Imb_WTGrayZoneCN
example2	MLH1	0	1	0	1	-0.149	-0.09	-0.05	-9.60E-02	91	89	0.76	2.04	0.94573058399999999	0.94573058399999999	1	1	target	FALSE	3	-0.09	wt
example2	MSH2	0	1	0	1	-6.70E-02	-0.03	-3.50E-02	5.2999999999999999E-2	143	139	0.76	2.04	0.99924560399999995	0.99924560399999995	1	1	target	FALSE	2	-0.03	wt
example2	MSH6	0	1	0	1	6.8000000000000005E-2	-0.109	1.7000000000000001E-2	0.17	71	68	0.76	2.04	0.929348709	0.92929769799999995	1	1	target	TRUE	2	-0.106790769	NoImb_WTGrayZoneCN
example2	MTIF3	0	1	0	1	0.17699999999999999	-0.042	-4.70E-02	-5.70E-02	155	146	0.76	2.04	0.98862389799999995	0.98856373399999997	1	1	control	FALSE	13	-0.042	wt
example2	MYC	0	1	1	0.56200000000000006	1.1930000000000001	0.746	0.80500000000000005	0.72299999999999998	141	141	0.76	2.04	2.920522412	0.94989570000000001	3	1	target	TRUE	8	0.95241116	Unb.Gain
example2	MYCN	0	1	0	1	-7.50E-02	-0.055	-0.04	-5.80E-02	111	108	0.76	2.04	0.97679635200000003	0.97679635200000003	1	1	target	FALSE	2	-0.055	wt
example2	NCOA2	0	1	1	0.56100000000000005	0.85	0.779	0.76200000000000001	0.68500000000000005	31	31	0.76	2.04	3.0003055999999999	0.97605927299999995	3	1	target	TRUE	8	0.990725503	Unb.Gain
example2	NIT2	0	1	1	0.35499999999999998	-0.733	-0.749	-0.721	-0.794	19	55	0.76	2.04	0.99799439700000003	-3.24E-02	1	0	control	TRUE	3	-1.050548952	HemiDel
example2	NKX3-1	0	1	1	0.26	0.55200000000000005	0.018	-3.00E-03	3.5000000000000003E-2	33	256	0.76	2.04	2.0492265839999999	3.8083183E-2	2	0	target	TRUE	8	0.060968287	Imb_WTGrayZoneCN
example2	OR3A3	0	1	0	1	-7.70E-02	-0.107	-7.70E-02	-0.171	60	58	0.76	2.04	0.93128898299999996	0.93044221599999999	1	1	control	FALSE	17	-0.107	wt
example2	PALB2	0	1	0	1	-7.50E-02	-0.075	-0.115	0.01	86	85	0.76	2.04	0.95855158600000001	0.95843148300000003	1	1	target	FALSE	16	-0.075	wt
example2	PIK3CA	0	1	0	1	-4.80E-02	-0.084	-0.113	-2.10E-02	160	156	0.76	2.04	0.95058943399999996	0.95058943399999996	1	1	target	FALSE	3	-0.084	wt
example2	PIK3CB	0		0		-0.109	-0.06	-1.80E-02	-4.50E-02	1		0.76	2.04					target	FALSE	3	-0.06	wt
example2	PIK3R1	0	1	0	1	0.09	-0.033	-8.80E-02	-9.00E-03	74	72	0.76	2.04	0.99622336099999997	0.99615205200000001	1	1	target	FALSE	5	-0.033	wt
example2	PTEN	0	1	0	1	-4.20E-02	-0.107	-0.158	-7.00E-02	238	236	0.76	2.04	0.93032495199999998	0.93032495199999998	1	1	target	FALSE	10	-0.107	wt
example2	PXDNL	0	1	1	0.57799999999999996	0.69499999999999995	0.695	0.71	0.79900000000000004	22	16	0.76	2.04	2.7737734999999999	0.94019425400000001	3	1	control	TRUE	8	0.892914649	Unb.Gain
example2	RAD51B	0	1	0	1	-8.30E-02	-0.084	-0.185	0.54400000000000004	146	138	0.76	2.04	0.951134641	0.95088941900000001	1	1	target	FALSE	14	-0.084	wt
example2	RAD51C	0	1	0	0.99299999999999999	-0.187	-0.171	-0.243	-2.10E-02	20	20	0.76	2.04	0.885526959	0.86837780099999995	1	1	target	TRUE	17	-0.190496019	NoImb_WTGrayZoneCN
example2	RB1	0		0		-0.837	-0.827	-0.84	-0.825	4		0.76	2.04					target	TRUE	13	-1.181949392	HomoDel
example2	RNF125	0	1	1	0.751	0.38300000000000001	0.377	0.40699999999999997	0.34	20	20	0.76	2.04	1.8609468769999999	0.99368157800000001	2	1	control	TRUE	18	0.513106882	Unb.Gain
example2	RNF43	0	1	0	1		-0.028			99	99	0.76	2.04	1.00126457	1.000934787	1	1	target	FALSE	17	-0.028	wt
example2	RSF1	0	1	0	1	-4.30E-02	-0.07	-7.80E-02	-6.90E-02	117	113	0.76	2.04	0.96333536200000003	0.96333536200000003	1	1	control	TRUE	11	-0.054765382	NoImb_WTGrayZoneCN
example2	RYBP	0	1	1	0.69199999999999995	-0.744	-0.568	-0.826	-0.131	64	92	0.76	2.04	0.86898146300000001	0.31077817200000002	1	0	target	TRUE	3	-0.762364498	HemiDel
example2	SMARCA1						-0.097					0.76	2.04					target	FALSE	X	-0.097	wt
example2	SPDYA	0	1	0	0.99299999999999999	-0.157	-0.075	-0.102	-0.06	38	38	0.76	2.04	0.96690512399999995	0.94970324800000006	1	1	control	TRUE	2	-0.061409201	NoImb_WTGrayZoneCN
example2	SPOP	0	1	0	1	-0.102	-0.014	4.7E-2	1.6E-2	109	107	0.76	2.04	1.0137620439999999	1.0137620439999999	1	1	target	FALSE	17	-0.014	wt
example2	TEX11						-0.183					0.76	2.04					control	FALSE	X	-0.183	wt
example2	TK2	0	1	1	0.38	-0.627	-0.691	-0.751	-0.664	59	119	0.76	2.04	1.031242419	1.2243700000000001E-4	1	0	control	TRUE	16	-0.955834757	HemiDel
example2	TOP3B	0	1	0	1	5.2999999999999999E-2	-0.033	-4.30E-02	-9.40E-02	130	128	0.76	2.04	0.99650586399999996	0.99646716599999996	1	1	control	FALSE	22	-0.033	wt
example2	TP53	0	1	0	1	-1.50E-02	0.022	3.5000000000000003E-2	2.1999999999999999E-2	100	95	0.76	2.04	1.0472998060000001	1.0472488950000001	1	1	target	FALSE	17	0.022	wt
example2	UGT2B17	0		0		0.71199999999999997	0.675	0.63	0.69099999999999995	9		0.76	2.04					other	FALSE	4	0.675	wt
example2	ZBTB16	0	1	1	0.32600000000000001	-0.485	-0.527	-0.581	-0.583	13	103	0.76	2.04	1.2433728820000001	-1.17E-02	1	0	target	TRUE	11	-0.699872308	HemiDel
example2	ZBTB9	0	1	0	0.999	6.5000000000000002E-2	0.143	0.1	0.42	80	75	0.76	2.04	1.1681560150000001	1.1655046849999999	1	1	other	FALSE	6	0.143	wt
example2	ZFHX3	0	1	1	0.38100000000000001	-0.629	-0.705	-0.74	-0.87	36	100	0.76	2.04	1.0182040370000001	-2.11E-03	1	0	target	TRUE	16	-0.978477862	HemiDel
